Время начала - чч:мм:сс.мс	Время окончания - чч:мм:сс.мс	Длительность - чч:мм:сс.мс	интервьюер	информант
00:06:55.302	00:06:57.825	00:00:02.523		чтобы было светло и тепло. …(0.3)
00:06:57.825	00:07:00.524	00:00:02.699		И там было действительно очень тепло. …(0.6)
00:07:00.524	00:07:02.079	00:00:01.555		А(0.6) я даже не чувствовал,
00:07:02.079	00:07:03.095	00:00:01.016		что мне холодно,
00:07:03.095	00:07:05.222	00:00:02.127		как-то дискомфортно. 
00:07:05.222	00:07:06.524	00:00:01.302		Вот. 
00:07:06.524	00:07:08.556	00:00:02.032		{ВЗДОХ} И в это время он сказал: 
00:07:08.556	00:07:09.460	00:00:00.904		«Ну вот, 
00:07:09.460	00:07:13.778	00:00:04.318		вы а(1.0) м(1.3) побывали на нашей планете. 
00:07:13.778	00:07:15.238	00:00:01.460		А(0.2) хотите вернуться обратно?» 
00:07:15.238	00:07:16.206	00:00:00.968		Я сказал: 
00:07:16.206	00:07:17.016	00:00:00.810		«Да,
00:07:17.016	00:07:19.937	00:00:02.921		{СМЕХ} я хочу вернуться обратно». 
00:07:19.937	00:07:20.683	00:00:00.746		А он тогда |ES|
00:07:20.683	00:07:24.492	00:00:03.809		И тогда мы поднялись обратно ...(0.4) н= на корабль.
00:07:24.492	00:07:31.444	00:00:06.952		А(0.6) ...(0.4) и-и ...(0.3) в этом смысле о= опять что-то ...(0.3) бесшумно задвинулось, 
00:07:31.444	00:07:34.127	00:00:02.683		и || и мы опять |ES|
00:07:34.127	00:07:38.222	00:00:04.095		М(0.7) я увидел такой большой и= иллюминатор в окно, 
00:07:38.222	00:07:40.857	00:00:02.635		что мы очень быстро двигаемся.
00:07:40.857	00:07:46.079	00:00:05.222		С какой-то невероятной скоростью двигаемся туда ...(0.6) а(1.5)
00:07:46.079	00:07:47.413	00:00:01.334		туда, куда |ES|
00:07:47.413	00:07:49.873	00:00:02.460		Откуда наверное они меня забрали.
00:07:49.873	00:07:51.048	00:00:01.175		 И потом случилось то,
00:07:51.048	00:07:55.413	00:00:04.365		что я вдруг очнулся на том месте || на том месте,
00:07:55.413	00:08:00.984	00:00:05.571		где я и ...(0.5) а(0.3) стоял,
00:08:00.984	00:08:04.571	00:00:03.587		когда меня забрали.
00:08:04.571	00:08:07.508	00:00:02.937		Всё также было звездное небо,
00:08:07.508	00:08:09.762	00:00:02.254		пели соловьи, 
00:08:09.762	00:08:11.952	00:00:02.190		и я подумал, 
00:08:11.952	00:08:15.206	00:00:03.254		что наверное мне это приснилось. 
00:08:15.206	00:08:18.064	00:00:02.858		Но чувствовал себя я при этом очень достаточно хорошо, 
00:08:18.064	00:08:19.429	00:00:01.365		вот.
00:08:19.429	00:08:22.429	00:00:03.000		 Я ...(0.2) пошел ...(0.2) дальше, 
00:08:22.429	00:08:25.127	00:00:02.698		дошел до дома,
00:08:25.127	00:08:26.159	00:00:01.032		выпил чаю, 
00:08:26.159	00:08:28.064	00:00:01.905		лег спать, 
00:08:28.064	00:08:29.460	00:00:01.396		все.
00:08:29.492	00:08:30.000	00:00:00.508	Угу.	
00:08:30.111	00:08:31.079	00:00:00.968	Спасибо.	
00:08:31.079	00:08:31.794	00:00:00.715	Так ...(0.7)	
00:08:31.794	00:08:33.540	00:00:01.746	 хотела задать вопросы.	
00:08:33.571	00:08:35.016	00:00:01.445	А(0.2) во-первых,	
00:08:35.095	00:08:36.111	00:00:01.016	когда вот вы гуляли |E| 	
00:08:36.111	00:08:37.444	00:00:01.333	еще в начале истории	
00:08:37.444	00:08:39.762	00:00:02.318	там кто-то еще был вот в парке?,	
00:08:39.778	00:08:40.746	00:00:00.968	Или что это было?,	
00:08:40.746	00:08:41.079	00:00:00.333	Парк?	
00:08:41.079	00:08:41.651	00:00:00.572		Нет,
00:08:41.651	00:08:42.857	00:00:01.206		 я шел по улице, 
00:08:42.857	00:08:45.254	00:00:02.397		а(0.3) время было ночное, 
00:08:45.254	00:08:47.508	00:00:02.254		и в это время {КАШЕЛЬ},
00:08:47.508	00:08:48.540	00:00:01.032		как оказалось, 
00:08:48.540	00:08:50.857	00:00:02.317		люди уже были у себя дома. 
00:08:50.857	00:08:51.286	00:00:00.429		То есть, 
00:08:51.286	00:08:52.476	00:00:01.190		ну редкие прохожие |ES|
00:08:52.476	00:08:54.064	00:00:01.588		Например я шел от остановки, 
00:08:54.064	00:08:56.492	00:00:02.428		а там я захожу за улицу, 
00:08:56.492	00:08:59.143	00:00:02.651		и там уже практически частные дома,
00:08:59.143	00:09:02.222	00:00:03.079		и там м(0.4) практически никого не бывает в это время.
00:09:02.222	00:09:06.381	00:00:04.159		Поэтому я …(0.5) имею возможность там да || идти там, 
00:09:06.381	00:09:07.714	00:00:01.333		думать о том о сём, 
00:09:07.714	00:09:09.397	00:00:01.683		там смотреть в небо там |ES|
00:09:09.397	00:09:12.524	00:00:03.127		И-и м(1.0) нет мне никого не было, 
00:09:12.524	00:09:13.683	00:00:01.159		поэтому был я один, 
00:09:13.683	00:09:16.540	00:00:02.857		поэтому наверное, это все и случилось со …(0.6) мной.
00:09:15.603	00:09:15.937	00:00:00.334	Угу.	
00:09:16.698	00:09:17.460	00:00:00.762	Угу.	
00:09:18.238	00:09:18.794	00:00:00.556	Так,	
00:09:18.794	00:09:20.889	00:00:02.095	хотела спросить про-о вот гуманоидов,	
00:09:20.889	00:09:21.238	00:00:00.349	да.	
00:09:21.238	00:09:22.984	00:00:01.746	У них какой цвет кожи был? 	
00:09:22.984	00:09:24.392	00:00:01.408	Как обычный?	
00:09:24.392	00:09:33.471	00:00:09.079		А(0.9) ...(1.1) у них был тако-ой {КАШЕЛЬ} м(0.6) ц= || темно-коричневый а(0.2) цвет кожи,
00:09:33.471	00:09:35.431	00:00:01.960		темно-коричневый. 
00:09:35.431	00:09:40.333	00:00:04.902		А(0.8) вот я гов= || Я уже сказал, что они где-то были м-метра два-три, 
00:09:40.333	00:09:43.314	00:00:02.981		потому что они очень большие были ...(0.3) в этом смысле, 
00:09:43.314	00:09:43.549	00:00:00.235		да.
00:09:43.549	00:09:47.020	00:00:03.471		Но м(0.6) я, конечно, когда ...(0.5) думал,
00:09:47.020	00:09:49.157	00:00:02.137		а как же я буду с ними |ES|
00:09:49.157	00:09:52.765	00:00:03.608		О-оказывается телепатически очень общаться дост= |ES| 
00:09:52.765	00:09:53.549	00:00:00.784		Они ничего не говорили, 
00:09:53.549	00:09:58.529	00:00:04.980		они просто …(0.3) телепатически о-общались с= со мной. 
00:09:58.529	00:10:05.373	00:00:06.844		И я был || я тоже им говорил || я тоже отвечал именно вот мыслительно телепатически. 
00:10:05.373	00:10:10.333	00:00:04.960		То есть там телепатическое было такое  {КАШЕЛЬ} общение …(0.3) с ними.
00:10:10.490	00:10:11.078	00:00:00.588	Угу.	
00:10:11.078	00:10:16.706	00:00:05.628	А(0.2) вот при вот этом общении телепатическом голос как бы а(0.4) остает= || оставался ну а(0.3),	
00:10:16.706	00:10:18.098	00:00:01.392	вот того кто с вами общается,	
00:10:18.098	00:10:18.941	00:00:00.843	или это ваш голос?	
00:10:18.980	00:10:20.549	00:00:01.569		А(0.2) там только была информация,
00:10:20.549	00:10:21.059	00:00:00.510		нет.
00:10:21.059	00:10:23.333	00:00:02.274		Там то=  || Там на уровне мысли.
00:10:21.314	00:10:22.000	00:00:00.686	Просто мысли.	
00:10:23.333	00:10:24.961	00:00:01.628		Там голоса как такового не было, 
00:10:25.235	00:10:25.941	00:00:00.706		Ева.
00:10:26.392	00:10:27.549	00:00:01.157		Там была мысль,
00:10:27.549	00:10:27.784	00:00:00.235		да,
00:10:27.784	00:10:30.824	00:00:03.040		ну то есть вот м(2.0) |ES|
00:10:30.824	00:10:33.373	00:00:02.549		Что меня в этом смысле и поразило,
00:10:33.392	00:10:33.882	00:00:00.490	Угу. 	
00:10:33.765	00:10:38.196	00:00:04.431		что м(0.5) и я тоже в общем-то …(0.6) м(0.6) не говорил ничего.
00:10:38.196	00:10:39.000	00:00:00.804		Я молчал. …(0.9)
00:10:39.000	00:10:41.941	00:00:02.941		Это м(0.5) называется вербальное общение.
00:10:41.726	00:10:42.118	00:00:00.392	Угу.	
00:10:41.941	00:10:44.392	00:00:02.451		Мы щас вербальным общением занимаемся.
00:10:44.392	00:10:49.196	00:00:04.804		А там шло …(0.4) а(0.4) н-на каком-то таком телепатическом уровне,
00:10:49.196	00:10:52.333	00:00:03.137		то есть там мыслительный был || мыслительный был процесс.
00:10:52.549	00:10:53.137	00:00:00.588	Угу.	
00:10:53.255	00:10:54.000	00:00:00.745	Хорошо	
00:10:53.686	00:10:55.039	00:00:01.353		Это было удивительно,
00:10:54.353	00:10:55.294	00:00:00.941	И еще хотела,	
00:10:55.039	00:10:55.647	00:00:00.608		да.
00:10:55.549	00:10:57.039	00:00:01.490	э(0.4) спросить про корабль.	
00:10:57.039	00:10:59.020	00:00:01.981	То есть вот вы видели как он со стороны выглядит, 	
00:10:59.039	00:10:59.686	00:00:00.647	да ведь?	
00:10:59.784	00:11:01.745	00:00:01.961		А(0.9) …(0.4) он |ES|
00:11:01.745	00:11:02.392	00:00:00.647		Н-нет я видел,
00:11:02.412	00:11:05.177	00:00:02.765		что он э(0.4) ближе-ближе-ближе,
00:11:05.177	00:11:07.588	00:00:02.411		но я …(0.3) как-то подумал, 
00:11:07.588	00:11:09.549	00:00:01.961		а-а потом всё.
00:11:09.549	00:11:11.941	00:00:02.392	А вы || когда вы выходили на-а той планете,	
00:11:11.941	00:11:12.706	00:00:00.765	там вы же сказали, 	
00:11:12.706	00:11:14.451	00:00:01.745	что рядом с кораблем проходили.	
00:11:14.471	00:11:15.431	00:00:00.960		Ну да,
00:11:15.431	00:11:17.863	00:00:02.432		мы вышли || мы вышли,
00:11:17.863	00:11:20.824	00:00:02.961		и там был такой а(0.3) …(0.2) || такая лестница,
00:11:20.824	00:11:21.784	00:00:00.960		такой трап,
00:11:21.784	00:11:24.137	00:00:02.353		он так || к= как язык такой, 
00:11:24.137	00:11:25.490	00:00:01.353		бум.
00:11:25.059	00:11:25.431	00:00:00.372	Угу.	
00:11:25.490	00:11:27.765	00:00:02.275		И мы сходили а(0.2) с этого трапа,
00:11:27.765	00:11:28.373	00:00:00.608		да,
00:11:28.373	00:11:31.745	00:00:03.372		и шли по этой э(0.4) м-местности.
00:11:28.863	00:11:29.412	00:00:00.549	Угу.	
00:11:31.726	00:11:33.549	00:00:01.823	То есть вы не помните как корабль выглядел, 	
00:11:33.549	00:11:34.177	00:00:00.628	да?	
00:11:34.157	00:11:36.961	00:00:02.804		А(0.5) ну я …(0.4) || я помню, 
00:11:36.980	00:11:40.137	00:00:03.157		что там было всё какого-то одного цвета:
00:11:39.706	00:11:40.137	00:00:00.431	Угу.	
